"id","name"
"409","Rojo de fenol"
"411","Clorhidrato de hidroxilamina"
"412","Cloruro de fenilhidrazina"
"413","Sulfato de hidracina"
"414","Ácido 3,5-dinitrosalicílico"
"416","Benzofenona"
"417","Adenina"
"418","Cafeína"
"419","Fenol"
"421","Resorcinol"
"422","Anilina"
"423","Benceno"
"424","Nitrobenceno"
"425","Tetracloruro de carbono"
"426","Salicilato de metilo"
"427","N,N-Dimetil-p-difenilendiamina diclorhidrato"
"428","Propionaldehído"
"429","Salicilaldehído"
"430","Tolueno"
"431","Trietanolamina"
"432","Trietilamina"
"433","Tween 20"
"434","Tween 80"
"435","p-Xileno"
"436","Bromato de potasio"
"437","Bromuro de potasio"
"438","Carbonato de potasio"
"440","Clorato de potasio"
"442","Dicromato de potasio"
"443","Hexacianoferrato (II) de potasio trihidratado"
"444","Fosfato ácido de potasio trihidratado"
"445","Fosfato ácido de potasio anhidro"
"446","Fosfato diácido de potasio"
"447","Ftalato ácido de potasio"
"448","Nitrato de potasio"
"449","Oxalato de potasio monohidratado"
"450","Perclorato de potasio"
"451","Permanganato de potasio"
"452","Persulfato de potasio"
"453","Peryodato de potasio"
"454","Sulfato de potasio"
"456","Tartrato de potasio y sodio tetrahidratado"
"457","Yodato de potasio"
"458","Yoduro de potasio"
"459","Acetato de amonio"
"460","Dicromato de amonio"
"461","Molibdato de amonio tetrahidratado"
"462","Oxalato de amonio hidratado"
"463","Peroxodisulfato de amonio"
"464","Tiocianato de amonio"
"465","Óxido de cobre (II)"
"466","Ácido Tánico"
"467","1-butanol"
"468","2-butanol"
"471","1-octanol"
"472","1-pentanol"
"473","1-Propanol"
"474","2-propanol"
"475","Ciclohexanol"
"476","D-manitol"
"477","Etanol 95%"
"478","Etanol absoluto"
"479","Alcohol isoamílico"
"480","Isobutanol"
"481","Metanol"
"482","Alcohol Polivinílico"
"483","Alcohol ter-amílico"
"484","Terc -butanol"
"485","Cloruro de aluminio hexahidratado"
"487","Nitrato de bismuto"
"488","Nitrato de bismuto pentahidratado"
"489","Hidróxido de calcio"
"490","Óxido de calcio"
"491","Sulfato de cerio (IV) anhidro"
"494","Sulfato de cerio (IV) hidratado"
"495","Sulfato de cerio (IV) anhidro"
"496","Cobre metálico alambre"
"497","Cobre metálico pulverizado"
"498","Cobre metálico lámina"
"499","Cobre metálico virutas"
"500","Nitrato de cobre (II) trihidratado"
"501","Nitrato de cobre (II)∙ 2,5H2O"
"502","Sulfato ácido de potasio"
"503","Cloruro de estaño dihidratado"
"504","Cloruro de estaño"
"505","Cloruro de hierro (III)"
"506","Cloruro de hierro (III) hexahidratado"
"507","Cloruro de hierro (II) tetrahidratado"
"508","Hidróxido de litio hidratado"
"509","Cloruro de Plata"
"510","Cloruro de potasio"
"511","Cromato de Potasio"
"512","Hidróxido de potasio"
"513","Hidróxido de sodio técnico (polvo)"
"514","Hidróxido de sodio pellets"
"515","Verde de metilo"
"516","Ácido fosfomolíbdico"
"517","Ácido 5-Sulfosalicílico"
"518","Ácido sulfosalicílico dihidratado"
"519","Aluminio en polvo"
"520","Aluminio cintas"
"521","Carbón polvo"
"522","Carbón trozos"
"523","Sodio metálico"
"524","Azul de bromotimol"
"525","Ácido 3,5-dinitrobenzoico"
"526","Ácido esteárico"
"527","Naftaleno"
"528","1,5-Difenilcarbazona"
"529","Alizarina roja S"
"530","Almidón soluble"
"531","Azul de bromofenol"
"532","Azul de metileno"
"533","Azul de timol"
"534","2,7-Diclorofluoresceína"
"535","Eriocromo negro T"
"536","Fenolftaleína"
"537","Fucsina"
"538","Murexida (indicador)"
"539","Rojo de metilo"
"540","Verde de bromocresol"
"541","Violeta de metilo"
"542","Alizarina Amarillo R"
"543","Azul brillante de coomassie G-250"
"544","Carmín"
"545","Eosina G"
"546","Hematoxilina"
"547","Índigo carmín"
"548","Orceína"
"549","Púrpura de bromocresol"
"550","Rodamina B"
"551","Safranina / Safranina O"
"552","Sudán (III)"
"553","Timolftaleína"
"554","Violeta Cristal"
"555","Violeta de Cresilo"
"556","Rojo de Cresol"
"557","Nitroprusiato de sodio dihidratado"
"558","Selenito de sodio anhidro"
"559","m-Silicato sodio nonahidratado"
"560","Ácido clorhídrico"
"561","Ácido clorhídrico"
"562","2-desoxyribosa"
"563","2-desoxyribosa   líquida 97 %"
"564","ABTS"
"565","Albúmina suero bovino"
"566","Benzofenona"
"567","Caseína"
"568","Catalasa"
"569","Glucógeno"
"570","Pancreatina"
"571","L-α-Lecitina"
"588","Balón Fondo Plano no esmerilado 125 mL"
"591","Anhídrido maleico"
"592","N-(1-Naftil)etilendiamina dicloruro"
"593","Nitrato de amonio"
"656","Fenol líquido (Disolución)"
"661","Éter dimetílico de etilenglicol"
"675","Sulfato de cadmio anhidro"
"676","Sulfato de cadmio 8/3 hidrato"
"678","N,N-Dimetil-1,4-fenilendiamonio dicloruro"
"679","Cromo(III) y potasio sulfato dodecahidrato"
"680","LIpasa"
"681","Celobiosa"
"682","Sulfuro de sodio hidratado"
"683","Cloruro de cromo (III) hexahidratado"
"684","Carbopol"
"685","Arabinosa"
"1153","Ácido sulfúrico"
"1154","Dextrosa anhidra"
"1156","Dicromato de sodio dihidratado"
"1201","n-heptano"
"1220","Acetona"
"1221","Acetato de etilo"
"1222","Acetanilida"
"1223","Acetanilida"
"1224","Acetanilida"
"1225","Ácido sulfúrico"
"1226","Ácido sulfúrico"
"1227","Ácido sulfúrico"
"1228","Ácido clorhídrico Fumante"
"1230","Peróxido de hidrógeno 30%"
"1231","Formaldehído 37%"
"1232","pipetas aforadas 50 mL"
"1233","pipetas aforadas 25 mL"
"1234","pipetas aforadas 10 mL"
"1235","pipeta graduada 10 mL (0,01)"
"1236","pipeta graduada 25 mL (1/10)"
"1237","pipeta graduada 5 mL"
"1238","balones aforados 100 mL"
"1239","balones aforados 25 mL (tapa amarilla)"
"1240","Ph metro #1"
"1241","Ph metro #2"
"1242","Espectrofluorómetro"
"1243","Densímetro-alcoholímetro"
"1244","Espectrofotómetro UV-VIS"
"1246","Hexano"
"1247","Ácido clorhídrico"
"1249","Fenol"
"1250","Etanol 95%"
"1251","Ciclohexano"
"1252","Hexano"
"1253","Clorhidrato de hidroxilamina"
"1254","Sulfito de sodio"
"1255","Bromato de sodio"
"1256","Fosfato de sodio dodecahidratado"
"1257","Yoduro de sodio"
"1258","Carbonato de sodio anhidro"
"1267","Álcalis y sales inorgánicas"
"1268","Álcalis y sales inorgánicas"
"1269","Álcalis y sales inorgánicas"
"1270","Álcalis y sales inorgánicas"
"1271","Álcalis y sales inorgánicas"
"1272","Álcalis y sales inorgánicas"
"1273","Álcalis y sales inorgánicas"
"1274","Álcalis y sales inorgánicas"
"1275","Álcalis y sales inorgánicas"
"1276","Ácido acético"
"1277","Ácido acético"
"1278","Ácido acético"
"1279","Ácido acético"
"1280","Álcalis y sales inorgánicas"
"1281","Ácidos y sales inorgánicos"
"1282","Álcalis y sales inorgánicas"
"1283","Ácidos y sales inorgánicos"
"1285","Álcalis y sales inorgánicas"
"1287","Hidróxido de sodio"
"1288","Hidróxido de sodio"
"1289","Hidróxido de sodio"
"1290","Ácidos y sales inorgánicos"
"1291","Álcalis y sales inorgánicas"
"1298","Ácido acético"
"1299","Beakers 100 mL"
"1300","Ácido acético"
"1301","Ácido acético"
"1302","Ácido acético"
"1303","Ácido acético"
"1304","Ácido acético"
"1305","Ácido acético"
"1306","Ácido acético"
"1307","Ácido acético"
"1308","Ácido acético"
"1309","Álcalis y sales inorgánicas"
"1310","Hidróxido de sodio"
"1313","Álcalis y sales inorgánicas"
"1314","Álcalis y sales inorgánicas"
"1315","Álcalis y sales inorgánicas"
"1316","Álcalis y sales inorgánicas"
"1317","Álcalis y sales inorgánicas"
"1318","Álcalis y sales inorgánicas"
"1319","Álcalis y sales inorgánicas"
"1320","Álcalis y sales inorgánicas"
"1321","Álcalis y sales inorgánicas"
"1322","Álcalis y sales inorgánicas"
"1323","Álcalis y sales inorgánicas"
"1330","Ácidos y sales inorgánicos"
"1335","Ácidos y sales inorgánicos"
"1338","Ácidos y sales inorgánicos"
"1339","Ácidos y sales inorgánicos"
"1340","Ácidos y sales inorgánicos"
"1341","Ácidos y sales inorgánicos"
"1342","Álcalis y sales inorgánicas"
"1343","Ácidos y sales inorgánicos"
"1344","Álcalis y sales inorgánicas"
"1345","Beakers 100 mL"
"1346","Beakers 50 mL"
"1347","Beakers 50 mL"
"1379","Álcalis y sales inorgánicas"
"1380","Ácidos y sales inorgánicos"
"1396","EDTA-2Na"
"1397","Hidróxido de amonio 25 %"
"1398","Ácidos y sales inorgánicos"
"1399","Álcalis y sales inorgánicas"
"1400","Álcalis y sales inorgánicas"
"1401","Álcalis y sales inorgánicas"
"1402","Álcalis y sales inorgánicas"
"1403","Álcalis y sales inorgánicas"
"1404","Álcalis y sales inorgánicas"
"1405","Álcalis y sales inorgánicas"
"1406","Álcalis y sales inorgánicas"
"1407","Álcalis y sales inorgánicas"
"1408","Álcalis y sales inorgánicas"
"1409","Álcalis y sales inorgánicas"
"1410","Álcalis y sales inorgánicas"
"1411","Álcalis y sales inorgánicas"
"1412","Álcalis y sales inorgánicas"
"1413","Álcalis y sales inorgánicas"
"1414","Beaker  250 ml"
"1415","Beaker  250 ml"
"1416","Beaker  250 ml"
"1417","Beaker  250 ml"
"1418","Beaker  250 ml"
